id,airport_ref,airport_ident,length_ft,width_ft,surface,lighted,closed,le_ident,le_latitude_deg,le_longitude_deg,le_elevation_ft,le_heading_degT,le_displaced_threshold_ft,he_ident,he_latitude_deg,he_longitude_deg,he_elevation_ft,he_heading_degT,he_displaced_threshold_ft
241426,3794,KPUB,8308.0,150.0,ASP,1,0,17,38.30419921875,-104.50399780273438,4726.0,178,,35,38.28139877319336,-104.50299835205078,4645.0,358,
244069,20882,KPUC,3631.0,75.0,ASP,0,0,07,39.6151008605957,-110.75700378417967,5855.0,90,,25,39.6150016784668,-110.74400329589844,5885.0,270,228.0
244070,20882,KPUC,4520.0,75.0,ASP,1,0,14,39.61539840698242,-110.75700378417967,5857.0,159,,32,39.60380172729492,-110.7509994506836,5809.0,339,
244071,20882,KPUC,8319.0,100.0,ASP,1,0,18,39.6265983581543,-110.74600219726562,5953.0,199,,36,39.60490036010742,-110.75499725341795,5808.0,19,
242716,20883,KPUW,7100.0,150.0,ASP,1,0,05,46.740698,-117.122002,2567.0,65,,23,46.747002,-117.097,2552.0,245,
242631,20884,KPVB,3600.0,75.0,ASP,1,0,07,42.68579864501953,-90.45120239257812,999.0,68,,25,42.68949890136719,-90.4386978149414,1022.0,248,
242632,20884,KPVB,4000.0,75.0,ASP,1,0,15,42.69540023803711,-90.4481964111328,1018.0,145,,33,42.6864013671875,-90.4395980834961,1019.0,325,
241474,20885,KPVC,3500.0,100.0,ASP,1,0,07,42.069801330566406,-70.22630310058594,9.0,59,,25,42.07469940185547,-70.21520233154297,9.0,239,
242989,3795,KPVD,8700.0,150.0,ASP,1,0,05,41.71379852294922,-71.43499755859375,51.0,32,,23,41.730499267578125,-71.4209976196289,44.0,212,
242990,3795,KPVD,6081.0,150.0,ASP,1,0,16,41.7317008972168,-71.43219757080078,54.0,142,565.0,34,41.71860122680664,-71.41829681396484,30.0,322,
239844,20886,KPVE,6000.0,100.0,CON,1,0,01,35.64830017089844,-88.19740295410156,446.0,12,,19,35.664398193359375,-88.19329833984375,488.0,192,
245153,20887,KPVF,4201.0,75.0,ASP,1,0,05,38.72159957885742,-120.76000213623048,2577.0,63,,23,38.72679901123047,-120.74700164794922,2579.0,243,
241230,20888,KPVG,3525.0,70.0,ASP,1,0,02,36.7776985168457,-76.44940185546875,21.0,9,898.0,20,36.78580093383789,-76.447998046875,20.0,189,928.0
241231,20888,KPVG,5350.0,100.0,ASP,1,0,10,36.78049850463867,-76.4625015258789,28.0,92,,28,36.77799987792969,-76.44439697265625,23.0,272,
243141,20889,KPVJ,3499.0,150.0,CON,0,0,12,34.7156982421875,-97.22630310058594,965.0,134,,30,34.70890045166016,-97.21810150146484,948.0,314,
243142,20889,KPVJ,5000.0,100.0,CON,1,1,17,34.71440124511719,-97.22419738769533,968.0,180,,35,34.70069885253906,-97.22419738769533,946.0,360,
245690,20890,KPVU,8599.0,150.0,ASP,1,0,13,40.230201721191406,-111.73200225830078,4497.0,146,,31,40.21070098876953,-111.71499633789062,4493.0,326,
245691,20890,KPVU,6614.0,150.0,ASP,1,0,18,40.22639846801758,-111.72000122070312,4494.0,192,,36,40.20869827270508,-111.7249984741211,4493.0,12,
242295,20891,KPVW,5997.0,100.0,ASP,1,0,04,34.16239929199219,-101.72599792480467,3373.0,51,,22,34.17279815673828,-101.71099853515624,3366.0,231,
242296,20891,KPVW,4000.0,100.0,ASP,1,0,13,34.17300033569336,-101.72000122070312,3372.0,138,,31,34.16490173339844,-101.71199798583984,3372.0,318,
245409,20892,KPWA,4213.0,100.0,CON,1,0,13,35.535099029541016,-97.6521987915039,1270.0,135,,31,35.52690124511719,-97.64219665527344,1296.0,315,
245411,20892,KPWA,7198.0,150.0,CON,1,0,17L,35.5443000793457,-97.64550018310548,1290.0,180,,35R,35.524600982666016,-97.64550018310548,1299.0,360,355.0
245410,20892,KPWA,5000.0,75.0,ASP,1,0,17R,35.54330062866211,-97.64920043945312,1283.0,180,,35L,35.529598236083984,-97.64920043945312,1275.0,360,
245260,20893,KPWC,3000.0,75.0,ASP,1,0,16,46.72869873046875,-94.3834991455078,1295.0,164,,34,46.72090148925781,-94.37989807128906,1295.0,344,
241185,20894,KPWD,2950.0,60.0,GRS,0,0,08,48.792701721191406,-104.52899932861328,,87,,26,48.7932014465332,-104.51699829101562,,267,
241186,20894,KPWD,3900.0,75.0,ASP,1,0,12,48.79219818115234,-104.52899932861328,2250.0,132,,30,48.78499984741211,-104.51699829101562,2236.0,312,
241187,20894,KPWD,1600.0,83.0,GRS,0,0,16,48.78950119018555,-104.53199768066406,,180,,34,48.78400039672852,-104.53199768066406,,360,
239760,20895,KPWG,3484.0,55.0,ASP,0,0,04,31.479400634765625,-97.31770324707033,568.0,44,,22,31.486299514770508,-97.30999755859376,592.0,224,
239761,20895,KPWG,5501.0,75.0,ASP,1,0,17,31.493799209594727,-97.31829833984376,591.0,179,,35,31.478700637817383,-97.31800079345705,566.0,359,
244856,20896,KPWK,3660.0,50.0,ASP,1,0,06,42.11050033569336,-87.90640258789062,647.0,63,354.0,24,42.1150016784668,-87.89430236816406,641.0,243,1251.0
244857,20896,KPWK,4386.0,75.0,ASP,1,0,12,42.11539840698242,-87.90709686279297,644.0,118,289.0,30,42.10969924926758,-87.8927993774414,640.0,298,433.0
244858,20896,KPWK,5000.0,150.0,ASP,1,0,16,42.12329864501953,-87.90709686279297,643.0,159,,34,42.110599517822266,-87.90039825439453,645.0,339,
